,max_depth,train_accuracy,validate_accuracy,difference
0,2,0.7395644283121597,0.7540229885057471,-0.014458560193587378
1,3,0.7468239564428312,0.7655172413793103,-0.01869328493647915
2,4,0.75,0.7632183908045977,-0.013218390804597746
3,5,0.7631578947368421,0.7701149425287356,-0.006957047791893434
4,6,0.779491833030853,0.7862068965517242,-0.006715063520871145
5,7,0.7912885662431942,0.7908045977011494,0.0004839685420447992
6,8,0.7994555353901996,0.8,-0.0005444646098003991
7,9,0.8253176043557169,0.825287356321839,3.0248033877855462e-05
8,10,0.8275862068965517,0.8091954022988506,0.01839080459770115
9,11,0.8348457350272233,0.8183908045977012,0.016454930429522063
10,12,0.8439201451905626,0.8160919540229885,0.027828191167574068
11,13,0.8484573502722323,0.8137931034482758,0.034664246823956524
12,14,0.852087114337568,0.8275862068965517,0.024500907441016295
13,15,0.8461887477313974,0.8160919540229885,0.030096793708408898
14,16,0.8498185117967332,0.8229885057471265,0.026830006049606725
15,17,0.8470961887477314,0.8183908045977012,0.02870538415003021
16,18,0.8470961887477314,0.8229885057471265,0.02410768300060495
17,19,0.8475499092558983,0.8183908045977012,0.029159104658197155
18,20,0.8470961887477314,0.8206896551724138,0.026406533575317637
19,21,0.8466424682395645,0.8206896551724138,0.025952813067150693
20,22,0.8480036297640653,0.8229885057471265,0.02501512401693884
21,23,0.8480036297640653,0.8206896551724138,0.027313974591651524
22,24,0.8480036297640653,0.8206896551724138,0.027313974591651524
